Column1,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,rankings,0,Res
266,28,73,32,41,24.9,9.6,3.9,8.5,45.7,1.1,2.8,37,0.8,1,77,0.5,1.6,2.1,2.2,0.8,0.7,0.4,1.8,18,0,0,-1.5,74,74.3442,-0.3442
267,31,49,33,16,31.5,16.9,5.9,12.4,47.7,1.9,4.8,40.3,3.2,4,80.1,0.5,2.9,3.4,4.2,1.7,1,0.2,2.3,29.3,0,0,5.3,82,83.6565,-1.6565
268,24,23,11,12,4,0.9,0.4,1.6,25,0,0.5,8.3,0.1,0.1,100,0.1,0.7,0.7,0.2,0.2,0.1,0,0.3,2.3,0,0,0.1,66,67.322426,-1.322426
269,31,47,32,15,11.4,5.6,2,4.9,40.9,0.8,2.4,35.1,0.7,0.9,80.5,0.3,1.4,1.8,0.7,0.5,0.2,0.1,1,9.3,0,0,0.2,72,72.59522,-0.59522
270,25,79,32,47,35.5,19.2,7.6,16.2,46.8,1,2.8,35.1,3.1,3.6,86.1,1.2,3.8,5,1.5,1.3,0.8,0.2,1.6,29.1,1,0,-1.7,81,82.08234,-1.08234
271,30,31,19,12,17.9,5.6,2.1,3.6,58.6,0,0,0,1.4,2.4,57.3,1.5,3.3,4.8,0.6,1.1,1.1,0.8,2.9,16.7,0,0,1,74,73.80735,0.19265
272,22,73,17,56,22.5,7.4,2.8,7,40.2,0.6,2,29.5,1.2,1.5,80.5,0.4,2.1,2.5,2.6,1.9,0.6,0.5,2.4,15.7,1,0,-1.6,73,71.499245,1.500755
273,20,38,8,30,16,7.5,3.3,6.3,52.9,0,0.1,0,0.8,1.3,65.3,1.1,3.1,4.2,0.8,0.8,0.4,0.9,1.7,16.6,4,0,-3.5,75,72.86785,2.13215
274,27,77,40,37,27.3,8.9,3.2,6.5,50,0.7,1.9,37.9,1.7,2.2,80.2,2.2,4.9,7.1,1.1,1.2,0.6,0.4,3.2,21,10,0,-0.4,75,75.71498,-0.71498
275,26,72,48,24,32.4,13.9,4.6,10,46.3,2.2,5.5,39.8,2.4,3,81.1,0.7,5.1,5.8,2.2,1.1,1,0.3,2.2,26.9,7,0,4.9,80,79.81414,0.18586
276,23,35,16,19,7.1,2.2,0.7,2.5,29.2,0.4,1.5,25.5,0.4,0.5,76.5,0.2,0.5,0.7,0.3,0.3,0.3,0.1,0.6,4.2,0,0,0,69,68.65247,0.34753
277,37,82,51,31,26.3,12.3,4.4,10.6,41.3,1.4,3.9,36,2.1,2.5,85.7,0.2,1.4,1.6,2.6,1.6,0.7,0.2,1.4,19.2,0,0,0.3,77,76.96905,0.03095
278,35,75,34,41,27.3,9.2,3.6,8.1,44.4,1.4,3.6,38.8,0.6,0.8,71.4,0.4,2.2,2.6,5.1,1.7,0.7,0.1,2.6,20.7,4,0,1.7,74,75.76612,-1.76612
279,30,69,26,43,22.2,9.2,3.2,8.1,39.4,0.8,2.8,27.5,2.1,2.4,86.3,0.6,2.5,3.1,1.2,1.1,0.5,0.2,1.5,15.8,1,0,-4.3,73,73.121864,-0.121864
280,25,62,27,35,18.4,9.7,3.6,7.9,46,0.7,2.4,28.1,1.8,2.1,85.3,0.5,3.8,4.3,1.2,0.6,0.4,0.4,1.6,18.4,1,0,-0.6,75,76.75865,-1.75865
281,28,36,13,23,24.5,14.5,4.9,11.1,43.8,1.6,4.3,37.2,3.2,3.9,81.6,0.3,3.4,3.8,5.1,2.4,1.2,0.4,2.2,29,3,0,-2.3,78,80.13522,-2.13522
282,28,3,1,2,23.8,11,3.7,10.7,34.4,0.7,1.7,40,3,3.3,90,1,3,4,4.3,3,0,0,1.3,19.3,0,0,-7,73,74.88686,-1.88686
283,27,76,40,36,37,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,2.1,1.9,0.4,1.5,44.4,15,2,2.7,90,89.59446,0.40554
284,32,46,17,29,22.1,5,2.2,4.4,49,0,0,0,0.7,1.7,43.6,3.5,5.2,8.8,2.2,1.3,0.7,0.8,2.8,22,5,0,-3.1,74,73.53741,0.46259
285,25,52,10,42,21.9,8.2,3,7,42.5,1.6,4.3,38.5,0.7,0.9,71.4,0.3,2.5,2.8,1,1.1,0.6,0.2,2.3,14.3,0,0,-5.5,72,72.89088,-0.89088
286,26,78,48,30,36.4,23.1,8.3,18.4,45.1,1.1,3.5,32.7,5.4,6.8,80.1,0.8,3.4,4.2,10.7,4.1,2,0.6,1.9,47.9,50,0,3.2,90,97.290306,-7.290306
287,27,78,60,18,17.9,6.2,2.3,5.4,42,0.4,1.3,29.4,1.3,1.7,75,0.3,1.8,2.1,1.6,1,0.6,0.3,1.9,12.9,0,0,2.7,75,72.15444,2.84556
288,30,22,6,16,17.3,4.9,2,5.4,37.3,0.6,1.4,41.9,0.3,0.4,66.7,1,2.3,3.4,2.3,1,0.5,0.2,1.4,13.2,0,0,-3.3,69,70.952805,-1.952805
289,24,49,28,21,10.3,4.2,1.6,3.4,45.6,0.4,1.3,30.3,0.7,0.8,84.2,0.3,1.4,1.7,0.3,0.6,0.4,0.4,1,8.3,0,0,-0.9,69,72.07914,-3.07914
290,26,74,54,20,33.4,25.5,8.6,17.7,48.5,2,5.2,38,6.3,7.2,88,1.1,4.7,5.8,3.5,2.1,1.8,0.7,1.6,43.3,9,0,5.9,95,93.75316,1.24684
291,22,42,25,17,9.2,4,1.5,3.8,39.2,0.2,0.5,31.8,0.8,1.2,71.4,0.1,0.9,1,1.4,0.7,0.4,0.2,0.9,8.3,0,0,-1.3,69,70.37356,-1.37356
292,32,56,31,25,12.3,4.6,1.6,3.8,40.7,0.3,1,35.2,1.1,1.5,78,1.1,2.6,3.7,0.5,0.5,0.3,0.4,1.2,11.2,0,0,-1.2,73,73.2804,-0.2804
293,31,72,52,20,32.4,17.3,6.9,14.6,47.7,0.3,0.8,41.1,3.1,3.8,81.2,2.4,4.9,7.3,1.9,1.4,0.6,1.2,2.2,33.1,18,0,3.8,85,84.18605,0.81395
294,24,57,34,23,19.1,4.4,1.8,2.7,66,0.1,0.2,25,0.8,1.2,65.7,1.4,2.8,4.3,0.7,0.8,0.9,1.6,2.4,17.3,0,0,3.1,73,73.57256,-0.57256
295,28,68,35,33,15.7,4.8,1.7,4.1,40.2,1.3,3.1,41.4,0.2,0.2,73.3,0.2,1.9,2.1,0.5,0.4,0.3,0.2,1.7,9,0,0,-0.1,70,70.111725,-0.111725
296,28,73,37,36,17.1,5.4,2,5.3,37.4,0.4,1.5,23.6,1,1.3,80.6,0.1,1.5,1.7,2.6,1.3,0.5,0,1.5,11.7,0,0,0.4,74,70.510216,3.489784
297,33,82,49,33,31.2,10.8,4.8,8.2,57.9,0,0,0,1.3,1.9,64.8,2.9,7.5,10.4,1.5,1.5,0.5,0.7,2.6,27.7,36,0,2.5,78,76.006195,1.993805
298,31,74,34,40,24,10.5,3.6,8.3,42.9,1.4,3.8,36,2,2.3,89.3,0.2,2.2,2.4,2,0.9,0.6,0.1,1.2,17.6,1,0,0.6,74,75.27483,-1.27483
299,23,5,2,3,9.5,2.8,0.4,1.4,28.6,0.2,0.4,50,1.8,2,90,0.2,1.6,1.8,0.6,0.4,0.2,0,1,6.1,0,0,-5,67,67.65954,-0.65954
300,27,79,36,43,32.5,14,5.3,12.7,41.8,1.5,4.5,33.1,1.8,2.3,78.4,1,3.7,4.6,2,1.1,0.7,0.3,2.1,24.4,5,0,-1.3,77,76.51403,0.48597
301,27,81,38,43,26.5,10.4,4.1,7.7,53.6,0,0.1,0,2.1,3.7,58,2.1,5.4,7.5,3.5,1.7,0.9,1.1,2.8,28.9,19,0,0,77,78.29722,-1.29722
302,26,76,39,37,26.1,7.6,2.7,7,39,1,2.8,36.7,1.1,1.3,85.4,0.3,1.6,1.9,4.7,1.8,0.7,0,2,17.3,0,0,-0.9,74,73.574554,0.425446
303,25,9,7,2,3.5,0.4,0.1,1.1,10,0,0.4,0,0.2,0.2,100,0.2,0.1,0.3,0.2,0,0,0,0.2,1.2,0,0,-0.3,70,68.04307,1.95693
304,29,69,35,34,33.2,20.5,6.7,14.6,46,2.5,6.1,40.8,4.6,5.3,85.9,0.4,3,3.5,6.3,2.3,1.3,0.3,1.8,36.7,8,0,2.7,87,85.09741,1.90259
305,28,45,19,26,10.8,2.5,1,2,47.8,0,0,0,0.6,0.9,64.1,0.8,1.3,2.1,0.5,0.7,0.4,0.3,1.6,7.1,0,0,-1.5,70,69.2251,0.7749
306,27,68,24,44,14.9,6.3,2.3,5.4,42.8,0.8,2.5,32.1,0.8,1,80.9,0.7,1.2,1.9,1,0.8,0.4,0.2,1.2,11,0,0,0,73,72.07439,0.92561
307,31,70,36,34,16.2,6.4,2.2,6,37.3,1.5,4.4,34.1,0.5,0.6,77.8,0.2,2.2,2.3,0.7,0.5,0.2,0.2,1.6,10.8,0,0,1,73,71.7123,1.2877
308,21,81,42,39,31.4,14.5,5.5,10.7,51.1,0.5,1.4,34.8,3,3.7,80.9,1.7,5.6,7.3,1.3,1.3,0.9,2.1,3.2,33,15,0,1.8,84,85.045876,-1.045876
309,29,65,28,37,18.3,6.2,2.3,5.5,42.4,0.9,2.7,31.6,0.7,0.9,73.8,0.9,2.9,3.8,1.2,0.9,0.6,0.3,2.4,14.4,3,0,-0.2,72,71.92084,0.07916
310,26,70,37,33,24,10.6,3.7,8.9,41.3,1.8,5.4,34.2,1.4,1.8,77.3,0.9,4.6,5.5,1.1,1.1,0.8,0.8,1.8,22.3,8,0,2.8,76,76.013664,-0.013664
311,24,35,26,9,13.5,2.8,0.9,2.5,37.9,0.3,1,35.3,0.6,0.6,90.9,0.7,1.6,2.3,0.6,0.5,0.3,0.3,1.5,7.7,0,0,1.9,69,70.11042,-1.11042
312,30,31,12,19,15.6,2.7,1,2.1,47.7,0,0,0,0.7,1.3,59,1.5,3.7,5.3,0.5,0.5,0.2,0.3,1.6,10.8,1,0,-1.9,71,71.09528,-0.09528
313,23,55,35,20,15.6,4.2,1.9,3.7,50.2,0,0.1,14.3,0.4,0.6,68.8,1.2,2.2,3.4,0.3,0.6,0.5,0.8,2,11.9,0,0,-0.9,72,71.578514,0.421486
314,32,69,40,29,34,18.1,6.2,14.1,44.2,1.1,3.5,31.1,4.5,5.9,76.8,1.6,6.1,7.7,3.7,2.3,1.3,0.9,2.7,37.1,19,0,2,87,84.54105,2.45895
315,20,41,18,23,11.2,3.5,1.4,3.8,36.5,0.6,2,32.1,0,0.1,40,0.1,1.1,1.2,0.6,0.3,0.5,0.2,0.8,7.5,0,0,-1.9,70,70.86831,-0.86831
316,25,40,24,16,8.6,2.5,1,2.3,45.1,0.3,0.8,32.3,0.2,0.2,88.9,0.1,0.7,0.8,0.9,0.4,0.5,0.1,1.2,6.3,0,0,2.1,72,69.99071,2.00929
317,29,81,40,41,28,10.4,4.7,9.6,49.3,0,0,0,0.9,1.3,72.1,3,3.4,6.4,1,1.1,0.2,1.4,1.9,23.4,8,0,0.9,76,77.422005,-1.422005
318,27,70,14,56,25.1,13.1,4.4,10.5,41.5,1.5,4.4,34.1,2.9,3.5,84.3,0.3,3.7,4,2.2,1.9,0.6,0.1,1.7,21.6,4,0,-3.2,74,75.92706,-1.92706
319,27,79,37,42,30.7,14.8,6,12.4,48,1.6,4,39.1,1.4,1.6,85.6,1.6,5.2,6.8,0.9,1.3,0.5,1.6,2.7,29.4,11,0,-1.8,80,80.650894,-0.650894
320,26,80,34,46,29.7,7,2.3,6,38.3,1.2,3.4,34.8,1.3,1.6,80.5,0.6,3.2,3.8,1.8,1,0.9,0.4,2.3,17.2,0,0,0.1,72,72.15208,-0.15208
321,23,59,28,31,16.6,5.7,1.9,4.8,40,0.6,1.7,32.4,1.3,1.6,78.7,0.4,2.2,2.7,0.9,1,0.7,0.5,1.6,12.8,0,0,-0.5,75,71.60687,3.39313
322,26,65,26,39,23.5,7.1,2.5,6.2,40.3,0.6,2,31.3,1.5,2,76,0.5,2.1,2.7,5.2,1.6,0.9,0.1,2,19.4,7,1,-1.3,73,70.17331,2.82669
323,25,79,42,37,27.3,14.5,5.3,11.5,45.5,1.9,5.3,35.7,2.1,2.7,76.6,0.4,2.4,2.8,2.3,1.3,0.7,0.2,1.3,22.6,0,0,2,80,78.79106,1.20894
324,22,69,23,46,17.2,6.4,2.1,5.2,40.2,0.7,2.3,31.1,1.5,1.8,85.4,0.4,1.8,2.2,1.1,1.1,0.5,0.1,2.2,11.4,0,0,-0.8,72,71.96075,0.03925
325,24,82,37,45,31.3,16.1,6.2,13,48.1,1.3,3.8,34.7,2.3,2.8,84.1,0.8,4.3,5.1,1.7,1.2,0.7,0.5,1.6,27.2,3,0,0,78,80.83979,-2.83979
326,24,57,35,22,12.3,5,2,4.5,45.5,0.5,1.2,44.3,0.4,0.5,75.9,0.1,0.7,0.8,1.8,0.8,0.2,0.1,0.9,8.6,0,0,-2.8,71,72.06794,-1.06794
327,21,61,15,46,18.4,7.3,3,7.2,42.1,0.3,1.3,26.6,0.9,1.2,77.5,0.3,1.2,1.6,3.7,1.3,0.8,0.1,1.2,16,6,0,-2.3,75,72.81124,2.18876
328,40,73,36,37,24.7,8,2.6,6.7,39.4,1.5,4.1,37.8,1.2,1.6,76.5,0.5,2.6,3.1,1.8,0.7,0.8,0.5,2.2,17.8,0,0,2.2,74,74.462326,-0.462326
329,29,62,35,27,24.2,10.5,3.7,9,41.6,2.4,6.4,37.8,0.6,0.7,86,0.3,1.8,2.1,1.1,0.5,0.6,0.1,1.1,16.1,0,0,1.4,74,75.70498,-1.70498
330,29,68,40,28,11.9,2.7,1.1,2.9,36.5,0.4,1.7,24.6,0.2,0.3,64.7,0.4,2.3,2.7,0.3,0.3,0.4,0.4,1.2,8.8,0,0,-0.8,71,70.51408,0.48592
331,30,73,29,44,34.2,13.5,4.6,11.6,39.3,2.4,6.6,36.3,2,2.5,81.6,0.2,3.3,3.5,2.9,1.4,1.1,0.2,2.2,24.5,0,0,-2.6,77,76.52936,0.47064
332,21,21,15,6,4.4,0.9,0.2,0.9,26.3,0.1,0.5,30,0.2,0.6,41.7,0.2,0.5,0.7,0.1,0.2,0.3,0,0.5,2.5,0,0,-0.3,65,69.10874,-4.10874
333,23,10,3,7,6.8,2.9,1,2.4,41.7,0,0,0,0.9,1.4,64.3,1.4,2.4,3.8,0.5,0.6,0.4,0.5,1.5,10.3,1,0,0.1,70,71.509384,-1.509384
334,32,65,59,6,26.6,7,2.7,5.7,47.8,0.8,2.4,35.1,0.8,1.3,61.4,0.8,3.2,4,3.4,1.2,1.1,0.3,1.6,20,1,0,7,81,77.755936,3.244064
335,24,70,48,22,22.2,4.8,1.9,3.9,49.6,0.5,1.5,31.1,0.5,0.8,61.1,1.1,2.5,3.6,0.7,0.5,0.8,0.6,1.9,13.7,0,0,3.7,74,71.65814,2.34186
336,31,70,62,8,20.7,5.4,2.5,4,62.7,0,0,100,0.3,0.7,48,1.7,5.3,7,2.3,1.2,0.5,1.6,3.2,22.4,5,0,5.7,77,85.91247,-8.91247
337,23,29,4,25,20.6,4,1.3,4.3,31,0.7,2.4,28.6,0.6,0.7,85,0.3,2.1,2.4,0.7,0.5,0.5,0.2,1.2,9.3,0,0,-1.2,69,68.02601,0.97399
338,30,68,46,22,13.6,5.6,2,4.9,40.8,1.2,3,38.7,0.4,0.6,74.4,0.1,0.8,0.9,0.4,0.3,0.3,0.1,0.9,8.2,0,0,1.6,73,71.32313,1.67687
339,21,57,14,43,19.5,8.9,3.1,7.4,41.7,0.4,1.7,23.2,2.3,3.4,67.4,0.5,2,2.5,2.1,1.8,0.5,0.2,1.5,15.3,1,0,-3.7,72,72.34072,-0.34072
340,27,54,47,7,9.4,5.5,1.9,3.2,60.3,0,0,0,1.6,2.1,76.3,1.4,2.2,3.6,0.4,0.5,0.2,0.4,1,11.8,3,0,1,75,76.62268,-1.62268
341,27,79,21,58,26.8,11.2,4.1,9.5,43.3,1.6,4.3,38.2,1.4,1.7,83.3,0.5,2.8,3.2,1.3,1.5,0.4,0.1,1.5,16.8,1,0,-4.9,76,74.01907,1.98093
342,28,12,6,6,17.7,6.9,2.9,4.3,67.3,0,0,0,1.1,2,54.2,1.2,2.4,3.6,0.5,0.8,0.4,1.3,1.8,16.1,0,0,-4.7,76,72.129745,3.870255
343,20,6,6,0,7.1,0.5,0.2,2,8.3,0.2,1.2,14.3,0,0,0,0.2,0.2,0.3,0.2,0.7,0.3,0.2,0.3,2,0,0,-1.3,66,67.962135,-1.962135
344,24,80,44,36,34.7,20.8,8,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,0.6,2.7,3.2,4.3,2.5,1.2,0.3,2.3,33.2,2,0,2,83,85.966324,-2.966324
345,31,74,50,24,32.7,19.5,7,15.1,46.2,1.6,4.4,37.1,4,4.4,89.6,0.5,3.7,4.2,10,2.6,2.1,0.2,2.5,43.6,38,0,7.5,91,93.96307,-2.96307
346,27,60,41,19,13.3,5.5,2.2,3.8,59.6,0,0,0,1,1.4,71.4,1.4,3.4,4.8,0.8,1.1,0.8,1.1,2.3,17.2,3,0,-0.4,74,75.51743,-1.51743
347,25,75,40,35,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4,6.8,3.2,0.9,0.4,2.2,40.6,15,0,1.3,89,88.61481,0.38519
348,25,80,32,48,17.9,9.3,3.2,7.1,45,0.6,1.9,29.3,2.4,3.2,75.8,0.6,3.1,3.7,0.9,0.8,0.4,0.1,0.9,15.8,4,0,-2.6,73,75.23467,-2.23467
349,26,81,73,8,34.7,14,5,10.1,49,1.2,3.2,38.8,2.8,4.1,69.6,1.7,7.8,9.5,7.4,3.2,1.5,1.4,3,41.8,33,13,13.2,90,99.97787,-9.97787
350,30,71,34,37,32.1,13.7,5.2,8.5,62,0,0.1,0,3.3,6.7,48.9,3.4,8.4,11.8,1.4,2.3,1,1.6,3.1,35.3,38,0,0.3,84,82.70501,1.29499
351,26,46,42,4,16.7,7,2.7,5,54.8,0,0,0,1.5,2.9,53,2,3.6,5.6,0.7,0.8,0.4,1.1,2,18.3,6,0,4.8,76,76.60279,-0.60279
352,21,76,31,45,32.1,12.3,4.7,10.1,46.9,1.4,3.9,35.4,1.4,1.8,82,0.7,2.2,2.9,1.9,1.3,1.3,0.2,1.9,21.9,0,0,-2.8,76,76.97505,-0.97505
353,22,45,24,21,11.3,3.8,1.4,3.4,43,0.3,0.8,37.8,0.6,0.9,69.2,0.3,1.2,1.5,0.6,0.4,0.4,0.2,0.5,7.8,0,0,-0.8,70,71.09008,-1.09008
354,29,23,9,14,20,5.7,2,6,32.6,0.8,3.2,24.7,1,1.1,84.6,0.2,1.8,2,4,1.7,0.4,0,1.8,13.6,0,0,-4.1,71,73.8472,-2.8472
355,34,39,12,27,26.6,7.7,2.9,7.9,36.8,1.1,3.7,29.9,0.8,0.9,85.7,0.5,2.5,2.9,4.9,1.7,0.6,0.1,2.6,19.1,0,0,-3.4,72,75.75105,-3.75105
356,25,22,11,11,14.9,7.2,2.5,5.1,47.8,1.2,2.6,44.8,1.1,1.5,73.5,1,1,1.9,1,0.9,0.7,0.2,1.3,13,0,0,-2,71,71.428535,-0.428535
357,20,29,12,17,6.9,1,0.4,1.2,30.6,0.2,0.9,23.1,0,0.1,25,0.1,0.8,0.9,0.3,0.2,0.2,0,0.6,3.1,0,0,-0.9,67,67.92297,-0.92297
358,30,76,33,43,15.5,7.2,3.2,6.6,48.5,0.1,0.2,25,0.7,0.9,80.6,0.7,2.2,2.9,0.8,0.8,0.4,0.9,2.1,15,1,0,-0.5,73,74.413155,-1.413155
359,26,51,25,26,12.9,4.3,1.7,3.2,53.7,0,0,0,0.8,1.2,72.9,1.1,2.3,3.4,0.4,0.5,0.4,1,1.5,12.7,2,0,1.1,74,72.214485,1.785515
360,27,52,21,31,28.9,10.4,3.6,8.4,42.3,1.9,4.4,43.7,1.3,1.7,77.8,0.4,2.3,2.7,3.1,1.4,0.9,0.2,2.1,20.3,1,0,-3.6,74,75.06246,-1.06246
361,28,3,3,0,14.5,7.3,2.3,6.7,35,1.3,3,44.4,1.3,1.3,100,0.3,1.3,1.7,1,0.3,0,0,0.7,10.5,0,0,3,74,67.63256,6.36744
362,28,81,40,41,15.3,4.2,1.5,3.6,42.6,1,2.6,38.6,0.2,0.2,72.2,0.2,1.6,1.9,1.2,0.8,0.7,0,1.2,9.6,0,0,0,73,71.17318,1.82682
363,25,22,10,12,8.9,4.5,1.5,3.5,43.6,0.5,1,45.5,1,1.3,75,0.2,0.7,0.9,1.1,0.7,0.1,0,0.8,7.2,0,0,2,70,68.560356,1.439644
364,21,16,9,7,3.6,1.3,0.5,1.4,36.4,0,0,0,0.3,0.6,50,0.4,0.4,0.8,0.1,0.1,0,0.7,0.3,4.4,0,0,0.4,71,69.77127,1.22873
365,26,65,27,38,28.2,16.8,6.3,14.4,43.9,1.3,4,33.6,2.8,3.3,84.3,0.4,2.6,3,6,2.6,1.4,0.3,2.3,31.9,5,0,0.4,79,82.02395,-3.02395
366,27,53,28,25,14.6,4.5,1.7,4.3,38.6,0.7,2,34.3,0.5,0.7,73,0.2,1.5,1.7,1.1,0.7,0.6,0.4,1.2,10.3,0,0,-1.7,70,70.95143,-0.95143
367,25,72,60,12,33,21.2,7.7,15.1,50.6,1.8,4,44.3,4.1,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1,1.8,40.1,12,0,9.1,93,91.177055,1.822945
368,25,69,40,29,20.2,10,3.7,8.1,45.5,1.2,3,40.5,1.4,1.9,75,1,3,4.1,1.5,1.1,0.8,0.5,2.4,19.7,1,0,3.2,76,76.60407,-0.60407
369,26,81,47,34,35.6,20.9,7,16.4,42.7,2.2,6,37.1,4.6,5.4,84.7,0.7,3.7,4.4,5.2,2.1,1.6,0.5,1.4,37.9,3,0,3,85,88.0434,-3.0434
370,27,72,52,20,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5,3.5,1,1.2,1.9,48.5,27,1,9,93,97.13055,-4.13055
371,27,78,32,46,19,6.8,3,5.7,53.2,0,0,0,0.7,1.3,54.8,2.2,3.3,5.4,0.4,0.6,0.5,0.9,2.4,17.5,5,0,-2.9,74,72.501625,1.498375
372,28,68,43,25,14.4,3.4,1.3,3.3,38.9,0.4,1.4,30.9,0.4,0.6,65.9,0.7,1.3,2.1,0.4,0.5,0.4,0.1,1.8,7.7,0,0,-0.3,71,68.96632,2.03368
373,24,53,37,16,31.5,19.6,7.4,16.6,44.8,1.6,4.9,32.1,3.2,3.6,88.5,0.8,2.1,3,4.7,2.3,1.1,0.3,2,32.1,1,0,3.9,89,86.49619,2.50381
374,25,69,36,33,19.9,8.3,3.3,6.9,48.1,0.4,1.1,38.5,1.3,1.6,78.4,0.6,2.7,3.2,1.9,1.4,0.6,0.1,2,16,1,0,-0.9,86,74.34893,11.65107
375,31,76,56,20,35.6,25.3,9.7,18.6,52,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6,7.4,6.8,3.3,1.4,0.6,1.9,47.1,28,3,8.1,96,96.84813,-0.84813
376,33,68,60,8,15.9,6.4,2.5,5.4,46.2,0.6,1.6,35.5,0.8,0.9,83.9,0.4,1.3,1.7,1.2,0.8,0.6,0.1,1.6,11.8,0,0,0.6,73,73.08752,-0.08752
377,36,76,50,26,21.5,8.7,3.5,7.9,45,0.9,2.1,40.4,0.8,1.1,72.6,1.1,3.6,4.7,0.9,0.9,0.6,0.4,2.3,17.7,3,0,-0.3,74,75.08729,-1.08729
378,31,74,45,29,32.4,12.3,4.6,10.1,45.5,1.2,3.5,34.4,2,2.6,75.5,1.5,4.5,6,1.9,1.1,1,0.4,1.6,25.4,13,0,0.3,78,77.46364,0.53636
379,33,53,8,45,16.4,4.5,1.8,4.3,42.2,0.3,1.2,26.2,0.5,0.5,93.1,0.3,1.4,1.7,3.4,1.5,0.5,0.1,1.4,12,0,0,0.4,72,72.22905,-0.22905
380,30,68,27,41,24.6,10.2,3.6,9.3,38.6,1.3,4.4,30.6,1.7,2,83.3,0.1,1.6,1.7,1.9,1.2,0.5,0,1.3,15.6,0,0,-2.7,72,74.08078,-2.08078
381,26,64,22,42,25.5,12,4.8,11.2,42.5,0.7,2.4,30.3,1.7,2.3,73.5,1.1,4.4,5.5,1.9,2.1,0.9,0.5,2.9,23.7,2,0,-1.4,76,76.61149,-0.61149
382,25,76,54,22,24.6,7.5,2.7,6.7,40.5,1.3,3.1,41,0.8,0.9,86.4,0.4,1.7,2.1,4.4,1.5,0.6,0.1,2.3,17.3,1,0,5,75,76.52973,-1.52973
383,28,56,33,23,31.4,15.3,5.3,12.4,42.2,1.4,3.8,36.3,3.4,4.1,83.4,0.5,2.5,2.9,6.1,1.5,1.2,0.3,1.8,30.9,4,0,1.2,85,82.538506,2.461494
384,24,60,34,26,9.4,3.3,1.3,2.5,50,0.2,0.7,30.8,0.5,0.7,79.5,0.6,1.3,2,0.6,0.5,0.2,0.5,1.2,8,0,0,-0.6,72,72.43885,-0.43885
385,28,60,20,40,17.9,5.1,1.8,3.9,46.8,0.8,2.1,38.4,0.7,0.9,72.7,0.8,2.7,3.5,1.4,0.8,0.4,0.4,2.6,13,3,0,-2.1,72,70.85852,1.14148
386,23,75,36,39,30.3,11.6,4.5,9.6,47.3,1.3,3.6,36.7,1.3,1.7,75.4,1.3,3.9,5.2,1.6,0.9,1.4,0.4,2.2,24.8,5,0,0.6,76,77.43808,-1.43808
387,23,34,17,17,4.2,1.1,0.4,1.4,26.5,0.1,0.6,23.8,0.1,0.1,100,0.3,0.6,0.9,0.3,0.3,0.1,0,0.2,2.5,0,0,-0.4,69,68.96729,0.03271
388,25,59,21,38,14.8,5.2,2,3.6,55.6,0.3,0.8,38.8,0.8,1.2,73.5,1.1,2.1,3.2,0.5,0.5,0.5,0.4,1.7,12,0,0,-2.1,72,74.10476,-2.10476
389,24,1,1,0,6.1,4,2,2,100,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5.2,0,0,-10,66,71.46997,-5.46997
390,30,82,41,41,20.3,9.9,3.4,7.2,47.3,0.4,1.4,32.4,2.6,3.5,75.6,0.3,2.2,2.5,2.9,1.4,0.6,0.1,1.2,17.7,3,0,-0.7,74,75.8948,-1.8948
391,24,81,40,41,18.5,5.9,2.2,5.2,43.1,0.8,2,39.5,0.6,0.9,74.3,0.2,1.3,1.5,2.1,1.3,0.8,0,1.5,11.9,0,0,0.9,73,72.864204,0.135796
392,25,41,30,11,11.6,3.3,1.3,3.6,37.7,0.4,1,35.7,0.3,0.4,80,0.2,1,1.1,1.5,0.6,0.3,0.2,0.7,7.7,0,0,0.5,71,71.158455,-0.158455
393,25,37,22,15,11.6,3.3,1.2,2.6,43.9,0.6,1.4,41.5,0.4,0.4,93.3,0.4,1.5,1.8,0.7,0.2,0.3,0.1,0.8,7.4,0,0,-1.6,70,70.80518,-0.80518
394,25,67,10,57,28.4,12.8,4.1,10.6,38.5,2.5,7.2,35.3,2.1,2.6,79.1,1,5.3,6.3,1.4,2.1,1.6,0.6,3.5,26.8,7,0,-4.2,76,76.47068,-0.47068
395,27,80,55,25,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6,7.8,10.4,4.3,2,0.3,2.5,51.1,54,18,7.9,93,92.27859,0.72141
396,26,78,54,24,32.1,12.6,5.3,11.1,47.9,0.8,2.4,32.6,1.2,1.6,75.2,1.8,5,6.8,0.8,1.4,0.5,1.9,2.7,27.8,9,0,6.8,79,80.326096,-1.326096
