Column1,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,rankings,0,Res
167,25,33,14,19,19,7.1,2.6,4.7,54.5,0.1,0.1,66.7,1.8,2.6,71.8,2,3.3,5.4,0.9,1,0.4,0.6,2.5,17.1,1,0,0.7,77,73.67333,3.32667
168,32,72,32,40,16.8,5.3,2,4.4,44.9,0.4,1.5,28.2,0.9,1.3,72.2,0.6,1.5,2.1,0.9,0.7,1.1,0.2,1.9,12.4,0,0,-0.8,73,72.672386,0.327614
169,26,82,48,34,27,7.9,3.1,7.4,42.4,0.8,2.3,35.3,0.9,1.1,74.5,0.5,2.7,3.2,3.2,1.1,1,0.2,1.7,19,1,0,-0.6,74,74.0119,-0.0119
170,24,44,11,33,10.8,4.1,1.6,3.7,44.7,0.5,1.5,32.4,0.4,0.5,69.6,0.2,1.7,1.9,0.7,0.4,0.3,0,0.8,8.1,2,0,-0.9,69,69.685936,-0.685936
171,26,63,44,19,14.9,5.3,2,3.7,54.1,0.3,0.9,31,1,1.3,75.3,1.4,2.9,4.3,0.9,0.9,0.5,0.8,2.5,14.6,2,0,0,74,72.55094,1.44906
172,22,14,10,4,16.8,8.1,3,6.2,48.3,0.4,1.3,27.8,1.8,2.2,80.6,0.3,1.6,1.9,3.1,1.4,0.6,0.2,1.4,15.9,0,0,2.3,74,73.11528,0.88472
173,25,77,43,34,14.1,5.9,2.1,4.8,44,1.2,3.3,37.3,0.5,0.6,81.6,0.2,1.8,2,1,0.5,0.3,0.4,1.2,11.4,0,0,1.2,75,73.472115,1.527885
174,20,73,24,49,27.7,11.6,4.5,10.9,41.2,0.6,2.1,30.7,1.9,2.7,72.3,0.5,2.3,2.8,4.4,2.4,1,0.3,2.2,22.8,3,0,-5.7,78,75.90103,2.09897
175,23,26,8,18,17.5,5.2,2,4.9,41.4,0.4,1.2,36.7,0.7,1.3,57.6,0.3,2.5,2.8,1.9,1.8,0.8,0.5,1.5,13.4,0,0,-2.9,70,71.252556,-1.252556
176,21,20,9,11,12.3,3.1,1.1,2.7,39.6,0.2,0.9,16.7,0.8,1.2,66.7,1.1,0.9,1.9,0.5,0.4,0.2,0.7,1.2,8.2,0,0,-1.8,71,68.70213,2.29787
177,23,1,0,1,13.2,2,1,3,33.3,0,0,0,0,0,0,2,3,5,0,0,1,0,2,11,0,0,10,67,76.684944,-9.684944
178,28,62,18,44,24.9,10,4,7.7,52.4,0.8,2.3,35.5,1.1,1.4,77.9,1.6,6.3,7.9,1.5,1.4,0.6,0.8,2.6,24.6,15,0,-2.5,77,76.33758,0.66242
179,22,82,22,60,28.7,11,4.1,9.4,44,1.1,3.2,35.6,1.5,2,74.7,0.6,2.5,3.1,1.6,1.5,0.9,0.2,2.8,19,0,0,-3,75,74.72155,0.27845
180,26,30,16,14,30.6,14.3,5.4,13.7,39.8,1.7,5.7,30.6,1.7,2.3,73.9,0.3,2.3,2.6,3.8,2.3,0.8,0.3,2,23.9,0,0,-2.8,76,80.327255,-4.327255
181,22,1,0,1,2.2,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3.2,0,0,-6,67,69.07329,-2.07329
182,26,67,32,35,12,2.1,1,1.8,54.1,0,0,0,0.2,0.4,37.9,1.2,2.9,4.1,1.2,0.6,0.5,0.8,1.7,11.9,2,0,0.1,72,71.66451,0.33549
183,19,78,28,50,21.9,5.9,2.3,6.4,36.4,0.6,2,31.8,0.6,0.9,72.1,0.5,1.8,2.3,3.2,1.7,0.8,0.2,2.3,15,1,0,-1.3,74,72.973656,1.026344
184,20,14,11,3,5.7,1.6,0.6,2,28.6,0.4,1.2,29.4,0.1,0.3,50,0.1,0.6,0.8,0.3,0.1,0.1,0.1,0.9,3.5,0,0,-3.1,71,69.005775,1.994225
185,32,65,23,42,24.8,8.4,3.1,7.3,41.8,1.4,3.5,39.2,0.9,1.2,76.9,0.3,2,2.3,1.9,1.2,0.9,0.4,2.1,16.7,0,0,-4,74,72.76889,1.23111
186,26,77,24,53,34.2,18.9,7,15.7,44.5,1.5,4.3,35.7,3.4,4.1,82.7,1,5.1,6.1,2,1.5,0.6,0.2,1.2,30,8,0,-4.2,82,82.039055,-0.039055
187,21,38,21,17,8.7,4,1.4,3.8,36.3,0.5,1.6,33.3,0.7,0.8,86.2,0.3,1.9,2.1,0.5,0.5,0.1,0,0.6,7.2,1,0,-0.1,69,69.9329,-0.9329
188,23,18,4,14,13.3,4.4,1.8,4,45.8,0.1,0.5,22.2,0.7,1,66.7,0.6,1.7,2.3,0.9,0.9,0.1,0.2,2.5,8.6,0,0,-2.5,65,70.19955,-5.19955
189,34,69,23,46,23.2,11.6,4.4,10,43.9,1.7,4.5,36.7,1.2,1.5,78.4,0.2,2.7,2.9,6.3,2.1,0.5,0,1.2,24.1,6,0,0.3,75,80.47751,-5.47751
190,23,31,16,15,24,12.6,5.2,10.7,48.2,1,2.6,38.3,1.3,1.7,74.1,1.4,3.5,4.9,1.9,1.5,0.8,0.3,1.6,23.2,3,0,-2.1,81,76.91563,4.08437
191,38,80,45,35,20.7,10.3,3.9,9.3,41.5,1.3,3.9,33.1,1.3,1.4,90.3,0.3,1,1.2,2.3,1.2,0.5,0.1,1.1,15.9,0,0,-1.9,77,75.32052,1.67948
192,27,72,25,47,22.3,7.1,2.5,5.3,47.4,0.7,2.1,33.3,1.3,1.6,83.6,1,2.1,3.1,1,0.8,0.7,0.3,1.9,14.3,1,0,-2.5,75,72.474174,2.525826
193,24,73,21,52,22.7,7.7,3,6.8,44.6,0.5,1.3,34.7,1.2,1.6,76.7,1.3,3,4.4,1,1.2,0.5,0.7,2.9,16.9,2,0,-3.6,73,72.179344,0.820656
194,26,78,27,51,25.3,10.8,3.9,8,49.1,1.9,4.6,41.9,1.1,1.3,82.7,0.7,2.7,3.3,1.6,1.2,0.4,0.3,2,18.3,2,0,-1.5,75,75.228264,-0.228264
195,27,76,39,37,25.9,8.8,3.8,6.6,57.2,0,0.1,14.3,1.2,2.1,57,2,4.8,6.8,1.5,1.1,0.6,1.4,2.7,24.1,10,0,2.2,77,75.70455,1.29545
196,23,57,43,14,14.2,4.6,2,3.2,62.7,0,0.1,0,0.5,0.8,68.2,1.1,2.6,3.6,1.8,0.9,0.6,1,1.6,15.5,1,0,2.8,77,77.12767,-0.12767
197,22,68,33,35,24.7,7.8,3,7.2,42.4,0.7,1.9,38,1,1.5,63.5,0.9,4.5,5.4,2.2,1.1,0.8,0.5,2.1,20.3,2,0,0.4,76,74.63851,1.36149
198,22,81,43,38,27.5,11.8,3.9,9.8,40.3,1.6,4.6,34.1,2.4,2.9,82,0.7,3.8,4.5,1.2,1.1,1,0.4,2.9,22.1,0,0,-1.4,76,80.09548,-4.09548
199,28,65,19,46,27.5,12.9,4.4,10.4,42,1.7,4.2,39.4,2.5,3.1,79.6,0.4,3.4,3.8,3.5,2.4,1.5,0.7,2.3,27,0,0,-2.5,77,77.18195,-0.18195
200,22,66,45,21,13.8,4,1.7,2.9,58,0,0.1,20,0.6,1.2,54.5,1.3,2,3.3,0.6,0.5,0.5,0.8,1.6,12.5,0,0,1.8,71,73.48081,-2.48081
201,25,42,14,28,13.8,4.2,1.6,3,54,0,0,0,1,1.5,68.9,1.7,2.6,4.3,0.8,0.5,0.4,0.5,1.3,12.7,3,0,0.3,71,72.3683,-1.3683
202,26,82,44,38,36.4,20.1,7.2,15.5,46.6,1.8,5,35.9,3.9,4.4,88.4,0.5,4.7,5.2,4,2.3,1.5,0.3,3.3,35.2,5,1,1.2,84,86.76565,-2.76565
203,22,77,34,43,31.2,16.1,6.1,13.5,45,2.1,5.6,36.6,1.9,2.7,70.7,1.1,5.1,6.3,1.8,1.8,0.6,0.4,2.1,27.8,17,0,-1.6,80,80.23182,-0.23182
204,33,82,50,32,36.9,27.5,10.5,19.3,54.2,1.8,5,36.7,4.7,6.5,73.1,1.2,7.5,8.6,9.1,4.2,1.4,0.9,1.7,54.1,52,18,1.3,98,95.402374,2.597626
205,20,52,24,28,34.2,10.2,3.9,10.8,36,1.7,5.7,30.5,0.6,1.4,45.1,1.3,5.6,6.9,7.2,2.6,1.7,0.8,2.3,34.3,13,2,-0.4,79,78.99457,0.00543
206,22,73,34,39,20,7.6,2.8,6.4,44.3,1.1,2.7,41.5,0.9,1,85.5,0.3,2.1,2.4,1.7,0.9,0.6,0.2,1.2,14.5,1,0,1.6,72,75.31652,-3.31652
207,25,48,25,23,29.9,13,5.1,10.5,48.5,1.3,3.4,38.5,1.6,1.8,88.2,0.5,2.8,3.3,3.2,1.4,0.9,0.3,2.7,23.7,1,0,-1.3,79,77.333275,1.666725
208,21,62,34,28,9.4,3.2,1.2,2.9,41,0.5,1.3,34.1,0.4,0.5,66.7,0.2,0.9,1.1,0.5,0.4,0.2,0.1,0.6,6,0,0,-0.4,72,70.29417,1.70583
209,40,65,39,26,20,8.9,3.1,7.1,43.4,1,3,33.3,1.7,2,84,0.3,1.9,2.2,2.5,1.6,0.7,0.2,1.9,16.4,0,0,1.1,77,76.022064,0.977936
210,34,82,43,39,25.3,8.4,3.5,6.8,51.8,0,0,0,1.3,2,67.5,2.2,5.4,7.6,1.8,1.2,0.5,0.7,2.1,22.8,15,0,1.3,77,74.648766,2.351234
211,20,72,19,53,21.2,7.7,2.8,6.6,42.3,0.8,2.6,29.5,1.3,2.2,60.8,1.1,4.4,5.5,1.2,1.5,0.7,1,2.8,19.6,5,0,-4.1,74,73.97327,0.02673
212,32,78,33,45,25.7,9.5,3.3,7.2,45.8,1.6,3.9,41.3,1.3,1.6,82.9,0.9,3.8,4.7,1.2,0.8,0.7,0.5,1.5,19.8,3,0,0.9,76,75.83686,0.16314
213,27,38,21,17,18.7,4.3,1.4,4,36.2,0.8,2.1,37.2,0.7,0.7,92.6,0.4,1.3,1.7,3.8,1.3,0.4,0,1.8,11.9,0,0,-2.1,73,71.56756,1.43244
214,26,72,20,52,16.8,5.4,2.1,4.3,48.9,0.6,1.8,31.3,0.6,0.8,74.6,1,2.3,3.3,0.7,0.4,0.4,0.7,1.6,12.9,1,0,-1.8,73,72.2219,0.7781
215,26,52,23,29,16.1,4.6,1.5,4.4,33.2,0.3,1.1,23.7,1.4,1.7,82,0.7,1.9,2.7,2.2,1,0.8,0.4,1.9,14,0,0,-1.2,69,70.691124,-1.691124
216,26,53,14,39,20,7.6,2.7,5.9,45.8,1.2,3.2,37.1,1.1,1.2,91.9,1.1,3.3,4.3,1,0.8,0.6,0.5,1.5,16.8,2,0,-1.5,74,73.33527,0.66473
217,29,76,39,37,18.5,8.8,3.6,6.9,52.7,0.9,2.1,40.5,0.7,1,65.8,0.7,2.6,3.3,1.1,1,0.3,0.1,1.9,14.5,0,0,-1.1,76,73.93852,2.06148
218,24,76,39,37,17,11,4.6,7.2,63.5,0,0.1,14.3,1.8,2.9,62.6,1.4,2.7,4,1,0.9,0.5,0.7,1.9,19.9,0,0,0.7,76,78.26055,-2.26055
219,33,80,56,24,17.4,7.3,2.5,6.1,41.2,1.5,4.1,37.7,0.7,0.8,86.2,0.3,1.3,1.6,0.5,0.5,0.5,0.1,1.3,11,0,0,0.5,74,73.29269,0.70731
220,29,64,27,37,31,11.6,4.2,10.2,41.5,1.4,4.3,33.6,1.7,2,83.1,0.9,3.9,4.8,5.5,2,1,0.4,1.1,27.6,7,2,0.1,77,76.018974,0.981026
221,27,55,34,21,27.2,15.6,5.6,12.4,44.7,2.5,6.5,37.7,2,2.5,81.8,1.1,6.3,7.4,1.5,1.1,0.8,0.7,2,30,12,0,2.7,79,79.22357,-0.22357
222,32,65,41,24,26.2,8.3,3.6,7.6,46.8,0.8,2.3,33.3,0.4,0.7,54.3,0.5,3.6,4,8.2,2.3,1.1,0.2,1.8,26.8,15,2,0.3,79,77.10354,1.89646
223,24,48,30,18,15.5,6.5,2.8,5,56,0.1,0.6,12.9,0.8,1.2,66.1,1.2,3.2,4.4,1.3,0.5,0.4,0.6,2,16.2,1,0,-0.8,75,74.74883,0.25117
224,27,80,51,29,31.6,12.6,4.3,10.5,41.3,2.5,6.9,36.9,1.5,1.7,85.3,0.7,4.7,5.4,2,1.6,1.7,0.9,3,28.3,7,0,6.6,79,79.935585,-0.935585
225,30,64,23,41,26.4,11.8,5.3,10.1,53,0.1,0.2,28.6,1.1,1.4,75.6,2.1,2.4,4.5,1.9,1.7,0.2,0.8,1.7,21.6,3,0,-3.1,77,75.650505,1.349495
226,25,60,29,31,26.9,14.7,5.4,12.5,42.9,2.1,5.6,38.1,1.9,2.2,86,0.4,2.4,2.8,1.6,1.2,0.8,0.2,1.8,22.1,0,0,-1.2,75,78.090126,-3.090126
227,26,18,11,7,16.6,5.1,2,4.1,49.3,0.8,1.9,42.9,0.2,0.4,50,0.6,1.2,1.8,0.9,0.2,0.4,0.2,1.2,10.3,0,0,1.8,74,69.17762,4.82238
228,29,80,47,33,36.4,25.4,9.5,21.1,44.9,1.2,4.1,29.8,5.2,7.1,73.7,1.9,8.2,10.1,10.3,4.8,1.8,0.3,2.5,54.3,59,25,4.8,93,90.23197,2.76803
229,23,73,50,23,15.8,2.7,0.9,2.6,34.6,0.5,1.7,32,0.3,0.6,61,0.5,1.7,2.2,0.3,0.3,0.3,0.1,1.2,6.4,0,0,-2.5,68,69.76899,-1.76899
230,25,80,28,52,28.8,12.6,4.1,10.5,38.7,1.8,5.4,32.6,2.7,3.4,81.3,0.5,2.7,3.2,6.6,1.6,0.9,0.3,2.3,28.1,7,0,-1.2,79,78.79541,0.20459
231,30,81,48,33,32.2,11.8,5.2,10.7,48.7,0.7,2.2,32,0.7,1.1,59.8,2.3,4,6.3,1.9,1.3,1.7,0.4,2.2,27.2,9,0,2.6,78,78.04573,-0.04573
232,20,15,7,8,4.8,1.5,0.5,1.4,38.1,0.1,0.7,10,0.3,0.6,55.6,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.4,3.9,0,0,-0.6,68,70.20121,-2.20121
233,27,59,31,28,14.2,3,1.2,2.9,39.5,0.3,0.9,30.4,0.4,0.5,76.7,0.3,1.6,1.9,3.3,1,0.8,0.1,1.6,12,0,0,-1.5,72,71.22516,0.77484
234,23,52,29,23,15.5,5.8,1.9,5.1,37.5,1,3,33.5,0.9,1.1,79.3,0.3,1.1,1.4,1,0.7,0.2,0.1,1.9,9.2,0,0,-0.1,70,70.50026,-0.50026
235,26,73,39,34,22.5,7.2,2.8,5.3,52.3,0.6,1.4,46.5,1,1.3,78.1,1,2.2,3.2,3.9,1.1,0.7,0.2,1.8,18.5,0,0,1.1,76,76.70367,-0.70367
