PLAYER,TEAM,AGE,SEASON,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,IMP,rankings,predictions
Marco Belinelli,SAS,34,2019-20,57,27,30,15.5,6.3,2.2,5.5,39.2,1.2,3.1,37.6,0.8,1.0,82.8,0.1,1.6,1.7,1.2,0.3,0.2,0.0,0.8,10.6,0.0,0.0,0.3,71.0,76.0
Marcus Morris Sr.,LAC,30,2019-20,62,26,36,31.2,16.7,5.7,13.1,43.8,2.3,5.6,40.8,2.9,3.5,82.3,1.0,4.1,5.0,1.4,1.6,0.8,0.5,2.9,26.9,3.0,0.0,0.7,78.0,72.0
Marcus Smart,BOS,26,2019-20,60,39,21,32.0,12.9,4.3,11.4,37.5,2.3,6.6,34.7,2.1,2.5,83.6,0.7,3.1,3.8,4.9,1.7,1.7,0.5,2.7,29.5,3.0,0.0,4.7,80.0,69.0
Marial Shayok,PHI,24,2019-20,4,2,2,7.0,2.8,0.8,3.0,25.0,0.5,1.5,33.3,0.8,1.0,75.0,0.3,1.5,1.8,0.3,0.8,0.0,0.3,1.0,5.2,0.0,0.0,-3.3,67.0,76.0
Mario Hezonja,POR,25,2019-20,53,24,29,16.4,4.8,1.7,4.1,42.2,0.5,1.5,30.8,0.9,1.1,81.4,0.6,2.9,3.5,0.9,0.8,0.7,0.2,2.0,12.2,1.0,0.0,-3.3,73.0,77.0
Markelle Fultz,ORL,22,2019-20,72,33,39,27.7,12.1,5.0,10.7,46.5,0.5,1.9,26.7,1.6,2.2,73.0,0.6,2.7,3.3,5.1,2.0,1.3,0.2,2.0,25.9,4.0,1.0,-0.8,77.0,77.0
Markieff Morris,LAL,30,2019-20,58,22,36,20.5,9.7,3.5,7.9,44.3,1.5,3.9,38.6,1.1,1.5,77.6,0.7,3.1,3.8,1.3,1.3,0.5,0.3,2.3,17.3,1.0,0.0,-2.2,75.0,87.0
Marko Guduric,MEM,25,2019-20,44,19,25,11.0,3.9,1.4,3.6,39.5,0.6,1.9,30.1,0.5,0.6,92.3,0.3,1.3,1.7,1.0,0.8,0.3,0.2,0.8,8.0,0.0,0.0,-0.6,69.0,78.0
Marques Bolden,CLE,22,2019-20,1,0,1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,5.4,0.0,0.0,4.0,68.0,90.0
Marquese Chriss,GSW,22,2019-20,59,15,44,20.3,9.3,3.6,6.5,54.5,0.1,0.7,20.5,2.0,2.6,76.9,1.9,4.3,6.2,1.9,1.3,0.7,1.1,2.1,23.4,9.0,0.0,-3.8,76.0,70.0
Marvin Bagley III,SAC,21,2019-20,13,2,11,25.7,14.2,6.0,12.8,46.7,0.3,1.7,18.2,1.9,2.4,80.6,2.2,5.2,7.5,0.8,1.4,0.5,0.9,3.3,27.1,3.0,0.0,-6.8,81.0,72.0
Marvin Williams,MIL,34,2019-20,58,21,37,19.5,5.9,2.1,4.6,44.6,1.0,2.7,35.9,0.8,1.0,86.0,0.5,2.6,3.2,1.0,0.6,0.6,0.5,1.8,14.1,0.0,0.0,-1.4,74.0,73.0
Mason Plumlee,DEN,30,2019-20,61,38,23,17.3,7.2,2.9,4.7,61.5,0.0,0.1,0.0,1.4,2.5,53.5,1.6,3.6,5.2,2.5,1.3,0.5,0.6,2.3,19.3,2.0,0.0,-0.9,77.0,72.0
Matisse Thybulle,PHI,23,2019-20,65,40,25,19.8,4.7,1.7,4.1,42.3,0.9,2.4,35.7,0.4,0.6,61.0,0.7,1.0,1.6,1.2,0.8,1.4,0.7,2.2,14.2,0.0,0.0,0.6,75.0,81.0
